"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","E2E Tests","0","Cart Functionality","0","0","Добавление товара в корзину","0"
"2","E2E Tests","0","Cart Functionality","0","0","Удаление товара","0"
"0","E2E Tests","0","Checkout Information Functionality","2","0","Отмена оформления заказа","0"
"0","Authentication Tests","0","Login Functionality","6","0","Негативные сценарии логина","0"
"0","Authentication Tests","0","Login Functionality","2","0","Позитивный сценарий логина","0"
"0","E2E Tests","2","Products Functionality","0","0","UI товаров","0"
"2","E2E Tests","0","Checkout Overview Functionality","0","0","Отображение данных заказа на Overview","0"
"2","E2E Tests","0","Checkout Complete Functionality","0","0","Навигация после завершения заказа","0"
"2","E2E Tests","0","Products Functionality","0","0","Удаление товаров","0"
"2","E2E Tests","0","Cart Functionality","0","0","Checkout переход","0"
"2","E2E Tests","0","Cart Functionality","0","0","Навигация назад","0"
"2","E2E Tests","0","Cart Functionality","0","0","Открытие корзины","0"
"2","E2E Tests","0","Checkout Overview Functionality","0","0","Отмена оформления заказа на Overview","0"
"2","E2E Tests","0","Checkout Complete Functionality","0","0","Отображение success message","0"
"2","E2E Tests","0","Checkout Complete Functionality","0","0","Текст завершения заказа","0"
"2","E2E Tests","0","Products Functionality","0","0","Работа корзины","0"
"2","E2E Tests","0","Products Functionality","0","0","Изменение состояния кнопки","0"
"2","E2E Tests","0","Cart Functionality","0","0","UI элементов корзины","0"
"2","E2E Tests","0","Products Functionality","0","0","Добавление товаров","0"
"0","E2E Tests","2","Products Functionality","0","0","Отображение карточки товара","0"
"2","E2E Tests","0","Cart Functionality","0","0","Множественное добавление товаров","0"
"0","E2E Tests","0","Checkout Information Functionality","2","0","Успешное заполнение checkout формы","0"
"2","E2E Tests","0","Cart Functionality","0","0","Очистка корзины","0"
"2","E2E Tests","0","Products Functionality","0","0","Навигация","0"
"2","E2E Tests","0","Checkout Overview Functionality","0","0","Финализация заказа","0"
"0","E2E Tests","0","Checkout Information Functionality","2","0","Ошибка при пустых полях формы","0"
"2","E2E Tests","0","Products Functionality","0","0","Открытие страницы продуктов","0"
